Event Date / Time,Event Number,Type,Address,Latitude,Longitude
7/13/2024 22:51,2024-042434,ASSIST / OTHER AGENCY,"720 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/14/2024 13:52,2024-042537,ASSIST / OTHER AGENCY,"1 BUNKER HILL RD/CARLYLE Belleville, IL",38.51473,-89.973456
7/14/2024 17:25,2024-042568,ASSIST / OTHER AGENCY,"10 IRENE DR Belleville, IL",38.5342383,-90.0345495
7/16/2024 9:00,2024-042908,ASSIST / OTHER AGENCY,"310 W H Belleville, IL",38.5232112,-89.9891712
7/16/2024 9:03,2024-042909,ASSIST / OTHER AGENCY,"1910 CARLYLE AVE Belleville, IL",38.5169967,-89.953685
7/17/2024 0:21,2024-043220,ASSIST / OTHER AGENCY,"720 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/17/2024 19:18,2024-043404,ASSIST / OTHER AGENCY,"10 FRIENDSHIP DR Belleville, IL",38.538006,-90.028227
7/19/2024 23:48,2024-043949,ASSIST / OTHER AGENCY,"1 S 79TH ST/W Belleville, IL",38.564301,-90.048439
7/13/2024 21:24,2024-042413,ATTEMPT TO LOCATE,"310 W CLEVELAND Belleville, IL",38.5049868,-89.9890326
7/15/2024 9:51,2024-042699,ATTEMPT TO LOCATE,"310 W CLEVELAND Belleville, IL",38.5049868,-89.9890326
7/15/2024 18:19,2024-042784,ATTEMPT TO LOCATE,"310 E MAIN Belleville, IL",38.5133293,-89.97714930214696
7/18/2024 15:29,2024-043588,ATTEMPT TO LOCATE,"4010 MEMORIAL DR Belleville, IL",,
7/15/2024 2:36,2024-042640,BATTERY / IN PROGRESS,"110 E D Belleville, IL",38.517738,-89.981484
7/18/2024 19:41,2024-043643,BATTERY / IN PROGRESS 24-04023,"110 E B Belleville, IL",38.5155298,-89.9821299
7/13/2024 23:55,2024-042443,BATTERY / NOT IN PROGRESS,"8 Belleville Police Belleville, IL",38.513543,-89.994754
